sentence,target
"In the treaty settlement, the British ceded most Indian lands to the new United States.",0
"Because New York made treaty with the Iroquois without getting Congressional approval, some of the land purchases have been subject to land claim suits since the late 20th century by the federally recognized tribes.",0
"New York put up more than 5 million acres (20,000 km2) of former Iroquois territory for sale in the years after the Revolutionary War, leading to rapid development in upstate New York.",0
"As per the Treaty of Paris, the last vestige of British authority in the former Thirteen Colonies—their troops in New York City—departed in 1783, which was long afterward celebrated as Evacuation Day.",0
"New York City was the national capital under the Articles of Confederation and Perpetual Union, the first national government.",0
"That organization was found to be insufficient, and prominent New Yorker Alexander Hamilton advocated a new government that would include an executive, national courts, and the power to tax.",0
"Hamilton led the Annapolis Convention (1786) that called for the Philadelphia Convention, which drafted the United States Constitution, in which he also took part.",0
The new government was to be a strong federal national government to replace the relatively weaker confederation of individual states.,0
"Following heated debate, which included the publication of the now quintessential constitutional interpretation—The Federalist Papers—as a series of installments in New York City newspapers, New York was the 11th state to ratify the United States Constitution, on July 26, 1788.",0
"New York remained the national capital under the new constitution until 1790, and was the site of the inauguration of President George Washington, the drafting of the United States Bill of Rights, and the first session of the United States Supreme Court.",0
Hamilton's revival of the heavily indebted United States economy after the war and the creation of a national bank significantly contributed to New York City becoming the financial center of the new nation.,0
"Both the Dutch and the British imported African slaves as laborers to the city and colony; New York had the second-highest population of slaves after Charleston, South Carolina.",0
Slavery was extensive in New York City and some agricultural areas.,0
"The state passed a law for the gradual abolition of slavery soon after the Revolutionary War, but the last slave in New York was not freed until 1827.",0
Transportation in western New York was by expensive wagons on muddy roads before canals opened up the rich farm lands to long-distance traffic.,0
"Governor DeWitt Clinton promoted the Erie Canal, which connected New York City to the Great Lakes by the Hudson River, the new canal, and the rivers and lakes.",0
"Work commenced in 1817, and the Erie Canal opened in 1825.",0
Packet boats pulled by horses on tow paths traveled slowly over the canal carrying passengers and freight.,0
"Farm products came in from the Midwest, and finished manufactured goods moved west.",0
It was an engineering marvel which opened up vast areas of New York to commerce and settlement.,0
It enabled Great Lakes port cities such as Buffalo and Rochester to grow and prosper.,0
"It also connected the burgeoning agricultural production of the Midwest and shipping on the Great Lakes, with the port of New York City.",0
"Improving transportation, it enabled additional population migration to territories west of New York.",0
"After 1850, railroads largely replaced the canal.",0
New York City was a major ocean port and had extensive traffic importing cotton from the South and exporting manufacturing goods.,0
Nearly half of the state's exports were related to cotton.,0
"Southern cotton factors, planters and bankers visited so often that they had favorite hotels.",0
"At the same time, activism for abolitionism was strong upstate, where some communities provided stops on the Underground Railroad.",0
"Upstate, and New York City, gave strong support for the American Civil War, in terms of finances, volunteer soldiers, and supplies.",0
"The state provided more than 370,000 soldiers to the Union armies.",0
"Over 53,000 New Yorkers died in service, roughly one of every seven who served.",0
"However, Irish draft riots in 1862 were a significant embarrassment.",0
"Since the early 19th century, New York City has been the largest port of entry for legal immigration into the United States.",0
"In the United States, the federal government did not assume direct jurisdiction for immigration until 1890.",0
"Prior to this time, the matter was delegated to the individual states, then via contract between the states and the federal government.",0
"Most immigrants to New York would disembark at the bustling docks along the Hudson and East Rivers, in the eventual Lower Manhattan.",0
"On May 4, 1847, the New York State Legislature created the Board of Commissioners of Immigration to regulate immigration.",0
"The first permanent immigration depot in New York was established in 1855 at Castle Garden, a converted War of 1812 era fort located within what is now Battery Park, at the tip of Lower Manhattan.",0
The first immigrants to arrive at the new depot were aboard three ships that had just been released from quarantine.,0
"Castle Garden served as New York's immigrant depot until it closed on April 18, 1890, when the federal government assumed control over immigration.",0
"During that period, more than eight million immigrants passed through its doors (two of every three U.S. immigrants).",0
"When the federal government assumed control, it established the Bureau of Immigration, which chose the three-acre Ellis Island in Upper New York Harbor for an entry depot.",0
"Already federally controlled, the island had served as an ammunition depot.",0
"It was chosen due its relative isolation with proximity to New York City and the rail lines of Jersey City, New Jersey, via a short ferry ride.",0
"While the island was being developed and expanded via land reclamation, the federal government operated a temporary depot at the Barge Office at the Battery.",0
"Ellis Island opened on January 1, 1892, and operated as a central immigration center until the National Origins Act was passed in 1924, reducing immigration.",0
"After that date, the only immigrants to pass through were displaced persons or war refugees.",0
"The island ceased all immigration processing on November 12, 1954, when the last person detained on the island, Norwegian seaman Arne Peterssen, was released.",0
He had overstayed his shore leave and left on the 10:15 a.m. Manhattan-bound ferry to return to his ship.,0
More than twelve million immigrants passed through Ellis Island between 1892 and 1954.,0
More than a hundred million Americans across the United States can trace their ancestry to these immigrants.,0
"Ellis Island was the subject of a contentious and long-running border and jurisdictional dispute between New York State and the State of New Jersey, as both claimed it.",0
The issue was settled in 1998 by the U.S. Supreme Court which ruled that the original 3.3-acre (1.3 ha) island was New York State territory and that the balance of the 27.5 acres (11 ha) added after 1834 by landfill was in New Jersey.,0
The island was added to the National Park Service system in May 1965 by President Lyndon B. Johnson and is still owned by the federal government as part of the Statue of Liberty National Monument.,0
Ellis Island was opened to the public as a museum of immigration in 1990.,0
"On September 11, 2001, two of four hijacked planes were flown into the Twin Towers of the original World Trade Center in Lower Manhattan, and the towers collapsed.",0
7 World Trade Center also collapsed due to damage from fires.,0
The other buildings of the World Trade Center complex were damaged beyond repair and demolished soon thereafter.,0
"The collapse of the Twin Towers caused extensive damage and resulted in the deaths of 2,753 victims, including 147 aboard the two planes.",0
"Since September 11, most of Lower Manhattan has been restored.",0
"In the years since, over 7,000 rescue workers and residents of the area have developed several life-threatening illnesses, and some have died.",0
"A memorial at the site, the National September 11 Memorial & Museum, was opened to the public on September 11, 2011.",0
"A permanent museum later opened at the site on March 21, 2014.",0
"Upon its completion in 2014, the new One World Trade Center became the tallest skyscraper in the Western Hemisphere, at 1,776 feet (541 m), meant to symbolize the year America gained its independence, 1776.",0
"From 2006 to 2018, 3 World Trade Center, 4 World Trade Center, 7 World Trade Center, the World Trade Center Transportation Hub, Liberty Park, and Fiterman Hall were completed.",0
St. Nicholas Greek Orthodox Church and Ronald O. Perelman Performing Arts Center are under construction at the World Trade Center site.,0
"On October 29 and 30, 2012, Hurricane Sandy caused extensive destruction of the state's shorelines, ravaging portions of New York City, Long Island, and southern Westchester with record-high storm surge, with severe flooding and high winds causing power outages for hundreds of thousands of New Yorkers, and leading to gasoline shortages and disruption of mass transit systems.",0
The storm and its profound effects have prompted the discussion of constructing seawalls and other coastal barriers around the shorelines of New York City and Long Island to minimize the risk from another such future event.,0
Such risk is considered highly probable due to global warming and rising sea levels.,0
"On March 1, 2020, New York had its first confirmed case of COVID-19.",0
"Since March 28, New York had the highest number of confirmed cases of any state in the United States.",0
"Nearly 50 percent of known national cases were in the state, with one-third of total known U.S. cases being in New York City.",0
"From May 19–20, Western New York and the Capital Region entered Phase 1 of reopening.",0
"On May 26, the Hudson Valley began Phase 1, and New York City partially reopened on June 8.",0
"During the pandemic, a federal judge ruled Cuomo and De Blasio exceeded authority by limiting religious gatherings to 25% when others operated at 50% capacity.",0
"New York's government released a new seal, coat of arms, and flag in April during the pandemic, adding ""E pluribus unum"" below the state's motto.",0
"A bill utilizing newly designed flag, arms and seal went into effect in September.",0
"The state of New York covers 54,555 square miles (141,300 km2) and ranks as the 27th largest state by size.",0
"The highest elevation in New York is Mount Marcy in the Adirondacks, at 5,344 feet (1,629 meters) above sea level; while the state's lowest point is at sea level, on the Atlantic Ocean.",0
"In contrast with New York City's urban landscape, the vast majority of the state's geographic area is dominated by meadows, forests, rivers, farms, mountains, and lakes.",0
"Most of the southern part of the state rests on the Allegheny Plateau, which extends from the southeastern United States to the Catskill Mountains; the section in New York State is known as the Southern Tier.",0
"The rugged Adirondack Mountains, with vast tracts of wilderness, lie west of the Lake Champlain Valley.",0
The Great Appalachian Valley dominates eastern New York and contains the Lake Champlain Valley as its northern half and the Hudson Valley as its southern half within the state.,0
The Tug Hill region arises as a cuesta east of Lake Ontario.,0
Upstate and downstate are often used informally to distinguish New York City or its greater metropolitan area from the rest of New York State.,0
The placement of a boundary between the two is a matter of great contention.,0
"Unofficial and loosely defined regions of Upstate New York include the Southern Tier, which often includes the counties along the border with Pennsylvania, and the North Country, which can mean anything from the strip along the Canada–U.S.",0
border to everything north of the Mohawk River.,0
"New York contains a part of the Marcellus shale, which extends into Ohio and Pennsylvania.",0
"Of New York State's total area, 13.6% consists of water.",0
"Much of New York's boundaries are in water, as is true for New York City: four of its five boroughs are situated on three islands at the mouth of the Hudson River: Manhattan Island; Staten Island; and Long Island, which contains Brooklyn and Queens at its western end.",0
"The state's borders include a water boundary in (clockwise from the west) two Great Lakes (Lake Erie and Lake Ontario, which are connected by the Niagara River); the provinces of Ontario and Quebec in Canada, with New York and Ontario sharing the Thousand Islands archipelago within the Saint Lawrence River, while most of its border with Quebec is on land; it shares Lake Champlain with the New England state of Vermont; the New England state of Massachusetts has mostly a land border; New York extends into Long Island Sound and the Atlantic Ocean, sharing a water border with Rhode Island, while Connecticut has land and sea borders.",0
"Except for areas near the New York Harbor and the Upper Delaware River, New York has a mostly land border with two Mid-Atlantic states, New Jersey and Pennsylvania.",0
New York is the only state that includes within its borders parts of the Great Lakes and the Atlantic Ocean.,0
"The Hudson River begins near Lake Tear of the Clouds and flows south through the eastern part of the state, without draining Lakes George or Champlain.",0
"Lake George empties at its north end into Lake Champlain, whose northern end extends into Canada, where it drains into the Richelieu River and then ultimately the Saint Lawrence River.",0
The western section of the state is drained by the Allegheny River and rivers of the Susquehanna and Delaware River systems.,0
Niagara Falls is shared between New York and Ontario as it flows on the Niagara River from Lake Erie to Lake Ontario.,0
"The Delaware River Basin Compact, signed in 1961 by New York, New Jersey, Pennsylvania, Delaware, and the federal government, regulates the utilization of water of the Delaware system.",0
"In general, New York has a humid continental climate, though under the Köppen climate classification, New York City has a humid subtropical climate.",0
"Weather in New York is heavily influenced by two continental air masses: a warm, humid one from the southwest and a cold, dry one from the northwest.",0
"Downstate New York, comprising New York City, Long Island, and lower portions of the Hudson Valley, has rather hot summers with some periods of high humidity and cold, damp winters which are relatively mild compared to temperatures in Upstate New York due to the downstate region's lower elevation, proximity to the Atlantic Ocean, and relatively lower latitude.",0
"Upstate New York experiences warm summers, marred by only occasional, brief intervals of sultry conditions, with long and cold winters.",0
"Western New York, particularly the Tug Hill region, receives heavy lake-effect snows, especially during the earlier portions of winter, before the surface of Lake Ontario itself is covered by ice.",0
"The summer climate is cool in the Adirondacks, Catskills, and at higher elevations of the Southern Tier.",0
Buffalo and its metropolitan area are described as climate change havens for their weather pattern in Western New York.,0
"Summer daytime temperatures range from the high 70s to low 80s (25 to 28 °C), over most of the state.",0
"In the majority of winter seasons, a temperature of −13 °F (−25 °C) or lower can be expected in the northern highlands (Northern Plateau) and 5 °F (−15 °C) or colder in the southwestern and east-central highlands of the Southern Tier.",0
"New York had a record-high temperature of 108 °F (42.2 °C) on July 22, 1926.",0
Its record-lowest temperature during the winter was −52 °F (−46.7 °C) in 1979.,0
"Some species that can be found in this state are american ginseng, starry stonewort, waterthyme, water chestnut, eastern poison ivy, poison sumac, giant hogweed, cow parsnip and common nettle.",0
"There are more than 20 mammal species, more than 20 bird species, some species of amphibians, and several reptile species.",0
"Species of mammals that are part of New York are white-footed mouse, North American least shrew, little brown bat, muskrat, eastern gray squirrel, eastern cottontail, stoat, groundhog, striped skunk, fisher, North American river otter, raccoon, bobcat, coyote, red fox, white-tailed deer, moose, and American black bear.",0
"Some species of birds in New York are the ring-necked pheasant, northern bobwhite, ruffed grouse, wild turkey, blue jay, eastern bluebird, American robin, and black-capped chickadee.",0
"Birds of prey that are present in the state are great horned owls, bald eagles, red-tailed hawks, American kestrels, and northern harriers.",0
"Waterfowl like mallards, wood ducks, canvasbacks, American black ducks, Canada geese, and blue-winged teals can be found in the region.",0
"Maritime or shore birds of New York are great blue heron, killdeers, northern cardinals, American herring gulls, and common terns.",0
"Reptiles species that can be seen in land areas of New York are queen snake, massasauga, hellbender, diamondback terrapin, spotted turtle, and Blanding's turtle.",0
"Species of turtles that can be found in the sea are green sea turtle, loggerhead sea turtle, leatherback sea turtle and Kemp's ridley sea turtle.",0
"New York Harbor and the Hudson River constitute an estuary, making New York state home to a rich array of marine life including shellfish—such as oysters and clams—as well as fish, microorganisms, and sea-birds.",0
"Due to its long history, New York has several overlapping and often conflicting definitions of regions within the state.",0
The regions are also not fully definable due to colloquial use of regional labels.,0
The New York State Department of Economic Development provides two distinct definitions of these regions.,0
"It divides the state into ten economic regions, which approximately correspond to terminology used by residents: The department also groups the counties into eleven regions for tourism purposes: New York has many state parks and two major forest preserves.",0
"Niagara Falls State Park, established in 1885, is the oldest state park in the United States and the first to be created via eminent domain.",0
"In 1892, Adirondack Park, roughly the size of the state of Vermont and the largest state park in the United States, was established and given state constitutional protection to remain ""forever wild"" in 1894.",0
"The park is larger than Yellowstone, Everglades, Glacier, and Grand Canyon national parks combined.",0
"It is larger than the Yellowstone, Yosemite, Grand Canyon, Glacier, and Olympic National Parks combined.",0
"The Catskill Park was protected in legislation passed in 1885, which declared that its land was to be conserved and never put up for sale or lease.",0
"Consisting of 700,000 acres (2,800 km2) of land, the park is a habitat for deer, minks, and fishers.",0
There are some 400 black bears living in the region.,0
"The state operates numerous campgrounds, and there are over 300 miles (480 km) of multi-use trails in the Park.",0
"The 1797 Montauk Lighthouse, commissioned under President George Washington, is a major tourist attraction in Montauk State Park at the easternmost tip of Long Island.",0
"Hither Hills State Park, also on the South Fork of Long Island, offers camping and is a popular destination with surfcasting sport fishermen.",0
"The State of New York is well represented in the National Park System with 22 national parks, which received 16,349,381 visitors in 2011.",0
"In addition, there are four National Heritage Areas, 27 National Natural Landmarks, 262 National Historic Landmarks, and 5,379 listings on the National Register of Historic Places.",0
New York is divided into 62 counties.,0
"Aside from the five counties of New York City, each of these counties is subdivided into towns and cities, incorporated under state law.",0
Towns can contain incorporated villages or unincorporated hamlets.,0
"New York City is divided into five boroughs, each coterminous with a county.",0
"The major cities of the state developed along the key transportation and trade routes of the early 19th century, including the Erie Canal and railroads paralleling it.",0
"Today, the New York Thruway acts as a modern counterpart to commercial water routes.",0
"Downstate New York (New York City, Long Island, and the southern portion of the Hudson Valley) can be considered to form the central core of the Northeast megalopolis, an urbanized region stretching from New Hampshire to Virginia.",0
There are 62 cities in New York.,0
"The largest city in the state and the most populous city in the United States is New York City, which comprises five counties (each coextensive with a borough): Bronx, New York County (Manhattan), Queens, Kings County (Brooklyn), and Richmond County (Staten Island).",0
New York City is home to more than two-fifths of the state's population.,0
"Albany, the state capital, is the sixth-largest city in New York State.",0
"The smallest city is Sherrill, New York, in Oneida County.",0
"Hempstead is the most populous town in the state; if it were a city, it would be the second largest in New York State, with more than 700,000 residents.",0
"New York contains 13 metropolitan areas, as defined by the U.S. Census Bureau.",0
"Major metro areas include New York City, Buffalo, Rochester, the Capital District (Albany, Schenectady, and Troy), Poughkeepsie, Syracuse, Utica, and Binghamton.",0
"The nation's most populous state until the 1960s, New York is now the fourth most-populous state.",0
"The distribution of change in population growth is uneven in New York State; the New York City metropolitan area is growing, along with Saratoga County, while cities such as Buffalo, Rochester, and Syracuse and several others having been losing population for decades.",0
"New York City gained more residents between April 2010 and July 2018 (223,615) than any other U.S. city.",0
"Conversely, outside of the Ithaca area, population growth in much of Western New York is nearly stagnant.",0
"According to immigration statistics, the state is a leading recipient of migrants from around the globe.",0
"Between 2000 and 2005, immigration failed to surpass out-migration to other parts of the United States, a trend that has been reversing since 2006.",0
"New York State lost two House seats in the 2011 congressional reapportionment, secondary to relatively slow growth when compared to the rest of the United States.",0
"In 2000 and 2005, more people moved from New York to Florida than from any one state to another, contributing to New York's becoming the fourth most populous state in 2015 behind Florida, Texas, and California.",0
"However, New York State has the second-largest international immigrant population in the country among the American states, at 4.2 million as of 2008; most reside in and around New York City, due to its size, high profile, vibrant economy, and cosmopolitan culture.",0
New York has a pro-sanctuary city law.,0
"The United States Census Bureau estimates that the population of New York was 19,453,561 on July 1, 2019, a 0.39% increase since the 2010 United States Census.",0
"Despite the open land in the state, New York's population is very urban, with 92% of residents living in an urban area, predominantly in the New York City metropolitan area.",0
Two-thirds of New York State's population resides in New York City metropolitan area.,0
"New York City is the most populous city in the United States, with an estimated record high population of 8,622,698 in 2017, incorporating more immigration into the city than emigration since the 2010 United States Census.",0
"At least twice as many people live in New York City as in the second-most populous U.S. city (Los Angeles), and within a smaller area.",0
"Long Island alone accounted for a Census-estimated 7,838,722 residents in 2015, representing 39.6% of New York State's population.",0
"6.5% of New York's population were under five years of age, 24.7% under 18, and 12.9% were 65 or older.",0
"Hispanic or Latino of any race were 17.6% of the population in 2010: 2.4% were of Mexican, 5.5% Puerto Rican, 0.4% Cuban, and 9.4% other Hispanic or Latino origin.",0
"According to the 2010–2015 American Community Survey, the largest ancestry groups were Italian (13.0%), Irish (12.1%), German (10.3%), American (5.4%), and English (5.2%).",0
"The state's most populous racial group, non-Hispanic white, has declined as a proportion of the state population from 94.6% in 1940 to 58.3% in 2010.",0
"As of 2011, 55.6% of New York's population younger than age 1 were minorities.",0
"New York's robustly increasing Jewish population, the largest outside of Israel, was the highest among states both by percentage and by absolute number in 2012.",0
"It is driven by the high reproductive rate of Orthodox Jewish families, particularly in Brooklyn and communities of the Hudson Valley.",0
New York is home to the largest African American population and the second largest Asian-American population (after California) in the United States.,0
"New York's Black population increased by 2.0% between 2000 and 2010, to 3,073,800.",0
"The Black population is in a state of flux, as New York is the largest recipient of immigrants from Africa, while established African Americans are migrating out of New York to the southern United States.",0
"The New York City neighborhood of Harlem has historically been a major cultural capital for African-Americans of sub-Saharan descent, and Bedford-Stuyvesant in Brooklyn has the largest such population in the United States.",0
"Meanwhile, New York's Asian population increased by a notable 36% from 2000 to 2010, to 1,420,244.",0
"Queens, in New York City, is home to the state's largest Asian-American population and is the most ethnically diverse county in the United States and the most ethnically diverse urban area in the world.",0
"New York's growing Hispanic-or-Latino population numbered 3,416,922 in 2010, a 19% increase from the 2,867,583 enumerated in 2000.",0
"Queens is home to the largest Andean (Colombian, Ecuadorian, Peruvian, and Bolivian) populations in the United States.",0
"In addition, New York has the largest Puerto Rican, Dominican, and Jamaican American populations in the continental United States.The Chinese population constitutes the fastest-growing nationality in New York State, which is the top destination for new Chinese immigrants, and large-scale Chinese immigration continues into the state.",0
"Multiple satellites of the original Manhattan Chinatown, in Brooklyn, and around Flushing, Queens, are thriving as traditionally urban enclaves, while also expanding rapidly eastward into suburban Nassau County, on Long Island.",0
